ganz,"whole, all the"
offenbar,obvious
rechte,right
zahlreich,numerous
erfolgreich,successful
konkret,concrete
weltweit,world-wide
geboren,born
menschlich,human
regelmäßig,regular
aktiv,active
staatlich,"state, government, national"
ehemalig,former
kalt,cold
jeweilig,"particular, respective"
erforderlich,"require, necessary"
heutig,"present-day, today's"
kulturell,cultural
unabhängig,independent
ruhig,"quiet, calm"
unmittelbar,"immediate, direct"
bewusst,conscious
finanziell,financial
klassisch,classical
heiß,hot
echt,"genuine, real"
teuer,expensive
nötig,necessary
toll,"great, terrific"
erneut,"again, renewed"
täglich,daily
üblich,usual
absolut,absolute
gesellschaftlich,social
individuell,individual
leer,empty
national,national
ungefähr,approximately
blau,blue
rasch,quick
verantwortlich,responsible
zuständig,"appropriate, responsible"
erheblich,considerable
ernst,serious
okay,okay
typisch,typical
zufrieden,satisfied
krank,"sick, ill"
warm,warm
dick,"thick, fat"
schwach,weak
linke,left
niedrig,"low, base"
traditionell,traditional
bereit,ready
gesetzlich,legal
leise,"quiet, soft"
negativ,negative
glücklich,"happy, fortunate"
beruflich,professional
selbstverständlich,obvious
offiziell,official
streng,strict
fein,fine
komplex,complex
obere,upper
ausländisch,foreign
ausschließlich,exclusive
bisherig,so far
laut,loud
sinnvoll,"sensible, meaningful"
tätig,active
ursprünglich,original
geistig,"intellectual, mental"
jährlich,annual
böse,"bad, mad"
frisch,fresh
weitgehend,extensive
intensiv,intensive
außen,outside
automatisch,automatic
gefährlich,dangerous
heftig,"heavy, violent"
militärisch,military
vollständig,complete
eindeutig,clear
offensichtlich,obvious
schart,sharp
theoretisch,theoretical
berühmt,famous
hell,"light, bright"
still,"still, quiet"
froh,happy
kritisch,critical
reich,"rich, abundant"
riesig,enormous
dicht,"thick, dense"
günstig,"favorable, good"
hauptsächlich,main
gegenwärtig,present
mittlere,"middle, average"
nett,nice
zeitlich,in time
spezifisch,specific
elektrisch,electric
gesund,healthy
grau,grey
westlich,westerly
chemisch,chemical
extrem,extreme
freundlich,friendly
total,"total, complete"
stolz,proud
unbekannt,unknown
elektronisch,electronic
endgültig,final
künstlerisch,artistic
sichtbar,visible
abhängig,dependent
biologisch,biological
doppelt,double
schuld,guilty
selbstständig,independent
umgekehrt,"reversed, contrary"
arbeitslos,unemployed
mächtig,powerful
ökonomisch,economic
rechtlich,legal
religiös,religious
schriftlich,written
angeblich,alleged
billig,cheap
damalig,at that time
geographisch,geographic
kräftig,strong
wild,wild
bunt,colorful
dringend,urgent
freiwillig,voluntary
heilig,holy
ideal,ideal
regional,regional
überwiegend,predominant
unmöglich,impossible
angenehm,pleasant
bedeutend,"important, significant"
eventuell,possible
körperlich,physical
medizinisch,medical
räumlich,"three-dimensional, spatial"
angemessen,appropriate
aufmerksam,attentive
dünn,thin
global,global
sonstig,other
sprachlich,linguistic
vorsichtig,cautious
derartig,"such, like that"
ehrlich,honest
entfernt,distant
gelb,yellow
schmal,"narrow, slender"
welch,soft
empirisch,empirical
ewig,eternal
traurig,sad
trocken,dry
unheimlich,"eerie, scary, incredible"
vielfältig,"diverse, varied"
wunderbar,wonderful
arm,poor
gegenseitig,"mutual, each other"
gewaltig,"enormous, tremendous, powerful"
grundlegend,"basic, fundamental"
sportlich,athletic
verheiratet,married
langfristig,long-term
ordentlich,"neat, proper, orderly"
äußere,"outer, external"
demokratisch,democratic
exakt,exact
inhaltlich,in terms of content
künstlich,artificial
perfekt,perfect
sauber,clean
gelegentlich,occasionally
gewohnt,usual
grob,"coarse, rude, gross"
literarisch,literary
maximal,maximum
parallel,parallel
untere,lower
vergleichbar,comparable
enorm,enormous
flach,"flat, low, shallow"
kompliziert,complicated
kurzfristig,at short notice
massiv,"solid, massive, severe"
optimal,"best possible, optimum"
allmählich,gradual
gerecht,just
müde,tired
strategisch,strategic
umfangreich,extensive
digital,digital
generell,general
konservativ,conservative
kühl,cool
lokal,local
nackt,"naked, bare"
physikalisch,physical
schrecklich,terrible
spannend,"exciting, thrilling"
touristisch,touristic
vielfach,multiple
gewöhnlich,usual
komplett,complete
zukünftig,future
braun,brown
einheitlich,"uniform, standardized"
gezielt,"purposeful, pointed, well-aimed"
real,real
schade,pity
statistisch,statistical
zufällig,"accidental, by chance"
dramatisch,dramatic
erkennbar,recognizable
fern,"far, distant"
juristisch,"legal, juridical"
komisch,"funny, strange"
lustig,"funny, enjoyable"
musikalisch,musical
objektiv,objective
seltsam,"strange, peculiar"
sorgfältig,careful
unglaublich,incredible
vernünftig,sensible
durchschnittlich,average
gefangen,"captive, be a prisoner"
mathematisch,mathematical
radikal,radical
stabil,"stable, sturdy"
systematisch,systematic
verrückt,crazy
vertraut,"familiar, close"
winzig,tiny
ernsthaft,serious
erstaunlich,astonishing
glatt,"smooth, slippery"
golden,"gold, golden"
hübsch,pretty
sanft,"soft, gentle"
scheinbar,apparent
städtisch,municipal
wirksam,effective
akademisch,academic
beliebt,popular
experimentell,experimental
herzlich,"cordial, warm"
primär,primary
rechtzeitig,punctual
übel,"foul, bad"
ungewöhnlich,unusual
verständlich,comprehensible
vorübergehend,temporary
bequem,comfortable
ökologisch,"ecological, organic"
schlicht,"simple, plain"
unendlich,endless
vollkommen,"complete, perfect"
weiblich,feminine
abstrakt,abstract
attraktiv,attractive
ausdrücklich,explicit
dumm,stupid
geheim,secret
indirekt,indirect
intern,internal
lebendig,"living, lively"
relevant,relevant
subjektiv,subjective
analog,analogous
dynamisch,dynamic
heimlich,secret
kommunikativ,communicative
locker,"loose, relaxed"
mehrfach,multiple
moralisch,moral
potenziell,potential
prinzipiell,principle
problematisch,problematic
steil,steep
südlich,southern
akut,"acute, urgent"
ausgeprägt,distinctive
blöd,"stupid, dumb"
einig,agreed
jetzig,current
virtuell,virtual
wahnsinnig,insane
zugänglich,accessible
ausführlich,detailed
ausgezeichnet,"excellent, perfect"
außerordentlich,extraordinary
blind,blind
denkbar,conceivable
eigenständig,independent
feucht,damp
geistlich,"religious, spiritual"
hervorragend,outstanding
intellektuell,intellectual
konsequent,consistent
kontinuierlich,"constant, continuous"
korrekt,correct
materiell,"financial, material"
merkwürdig,strange
mündlich,oral
pädagogisch,pedagogical
psychisch,psychological
stellvertretend,on behalf
unsicher,uncertain
auswärtig,from out of town
beliebig,"any, as you like"
derzeitig,current
evangelisch,protestant
friedlich,peaceful
furchtbar,terrible
genetisch,genetic
methodisch,methodical
nachhaltig,"lasting, sustainable"
neugierig,curious
restlich,remaining
umstritten,disputed
verdächtig,suspicious
wunderschön,"wonderful, lovely"
effektiv,effective
einsam,"lonely, isolated"
gründlich,thorough
jahrelang,lasting for years
konstant,constant
langweilig,boring
liberal,liberal
logisch,logical
nervös,nervous
optisch,optical
organisch,organic
peinlich,embarrassing
schief,"crooked, not straight"
spontan,spontaneous
top,top
unzählig,countless
wertvoll,valuable
wütend,furious
bescheiden,modest
dauerhaft,lasting
deutschsprachig,german-speaking
flexibel,flexible
herrlich,marvelous
kirchlich,ecclesiastical
klug,clever
nachfolgend,following
süß,sweet
unangenehm,unpleasant
verfügbar,available
vorläufig,temporary
angewiesen,dependent
anstrengend,exhausting
behindert,handicapped
divers,"diverse, various"
einmalig,"unique, fantastic"
elegant,elegant
formal,formal
gültig,valid
klinisch,clinical
kreativ,creative
nützlich,useful
organisatorisch,organizational
schuldig,guilty
sexuell,sexual
stetig,constant
super,super
unklar,unclear
vergeblich,futile
anwesend,present
betrieblich,operational
bürgerlich,"civil, civic"
einheimisch,native
empfindlich,sensitive
extern,external
fröhlich,cheerful
großzügig,generous
heimisch,"indigenous, native, at home"
konventionell,conventional
linear,linear
mühsam,"strenuous, laborious"
nördlich,northern
professionell,professional
psychologisch,psychological
qualitativ,qualitative
reichlich,"plenty, generous"
schwanger,pregnant
strukturell,structural
stumm,"dumb, silent"
vermehrt,increased
zulässig,permissible
alltäglich,"daily, usual, ordinary"
beträchtlich,considerable
charakteristisch,characteristic
dankbar,grateful
dauernd,"constant, lasting"
detailliert,detailed
diskret,"discreet, confidential"
einseitig,one-sided
einverstanden,to be in agreement
fließend,fluent
kostenlos,free of charge
männlich,male
mechanisch,mechanical
medial,by the media
monatlich,monthly
örtlich,local
physisch,physical
präzise,precise
symbolisch,symbolic
treu,faithful
vermeintlich,supposed
vorig,previous
wach,awake
alternativ,alternative
ärztlich,medical
aufwendig,"extravagant, costly"
bemerkenswert,remarkable
besorgt,concerned
chronisch,chronic
düster,gloomy
effizient,efficient
emotional,emotional
erreichbar,"within reach, reachable"
gemütlich,"comfortable, cosy"
gespannt,"eager, anxious, tense"
intelligent,intelligent
landwirtschaftlich,agricultural
maßgeblich,"significant, decisive"
mobil,mobile
motorisch,motor
nass,wet
operativ,operative
philosophisch,philosophical
realistisch,realistic
sachlich,"objective, matter-of-fact"
überflüssig,superfluous
unsichtbar,invisible
verbindlich,"binding, friendly"
verlegen,embarrassed
voraussichtlich,expected
zwangsläufig,inevitable
anscheinend,apparent
auffällig,conspicuous
aufrecht,"upright, erect"
berufstätig,"employed, working"
blond,blond
drastisch,drastic
endlos,"endless, infinite"
erhältlich,available
explizit,explicit
fachlich,"specialist, informed"
fotografisch,photographic
gleichmäßig,"regular, even"
gleichsam,"as it were, so to speak"
identisch,identical
illegal,illegal
industriell,industrial
mild,"mild, gentle"
olympisch,Olympic
permanent,permanent
regelrecht,"proper, real"
spürbar,perceptible
starr,"stiff, rigid, paralyzed"
steuerlich,tax
tödlich,fatal
unverändert,unchanged
unverzüglich,"immediate, prompt"
unwahrscheinlich,"improbable, unlikely"
vertraglich,contractual
amtlich,official
außergewöhnlich,unusual
bedeutsam,"important, significant"
blass,pale
elementar,"elementary, basic"
flüchtig,"fugitive, cursory, fleeting"
gänzlich,entirely
kognitiv,cognitive
langjährig,long-standing
minimal,minimal
mutmaßlich,"presumed, suspected"
nachträglich,"later, belated"
naturwissenschaftlich,scientific
quantitativ,quantitative
schlank,slim
schulisch,school
strikt,strict
therapeutisch,therapeutic
unglücklich,"unhappy, unfortunate"
vorzeitig,"early, premature"
willkommen,welcome
zuverlässig,reliable
ästhetisch,aesthetic
bitter,bitter
einstig,former
fällig,due
flüssig,liquid
glänzend,"shining, brilliant"
harmlos,harmless
hässlich,ugly
hochwertig,high-quality
interkulturell,intercultural
ländlich,rural
nachdenklich,thoughtful
optimistisch,optimistic
schmutzig,dirty
schräg,"diagonal, at an angle"
unerwartet,unexpected
absurd,absurd
großartig,"splendid, superb"
hilflos,helpless
ostdeutsch,East German
östlich,eastern
radioaktiv,radioactive
solide,"solid, sound"
technologisch,technological
unerträglich,intolerable
westdeutsch,West German
zweifellos,undoubtedly
